,Team,Year,Pos.,Salary
485,HOU,2021,RP,14154200
486,HOU,2021,RP/CL,10500000
487,HOU,2021,SP,85361900
488,HOU,2021,SS,14700000
489,HOU,2022,1B,15500000
490,HOU,2022,2B,29000000
491,HOU,2022,3B,13000000
492,HOU,2022,C,16750000
493,HOU,2022,CF,1418800
494,HOU,2022,DH,764600
495,HOU,2022,LF,16000000
496,HOU,2022,OF,710500
497,HOU,2022,RF,764200
498,HOU,2022,RP,16594600
499,HOU,2022,RP/CL,23000000
500,HOU,2022,SP,46699300
501,HOU,2022,SS,5850000
502,HOU,2023,1B,19500000
503,HOU,2023,2B,30400000
504,HOU,2023,3B,30500000
505,HOU,2023,C,4720300
506,HOU,2023,CF,2204500
507,HOU,2023,LF,19833333
508,HOU,2023,RF,5000000
509,HOU,2023,RP,27117000
510,HOU,2023,RP/CL,22000000
511,HOU,2023,SP,32103200
512,HOU,2023,SS,1474900
513,KCR,2020,1B,576950
514,KCR,2020,2B,571250
515,KCR,2020,3B,3340000
516,KCR,2020,C,14780500
517,KCR,2020,CF,6139350
518,KCR,2020,DH,7300000
519,KCR,2020,LF,4000000
520,KCR,2020,OF,1127000
521,KCR,2020,RF,610500
522,KCR,2020,RP,22922837
523,KCR,2020,RP/CL,650000
524,KCR,2020,SP,21866000
525,KCR,2020,SS,604500
526,KCR,2021,1B,7820500
527,KCR,2021,2B,2247500
528,KCR,2021,3B,2500000
529,KCR,2021,C,15374500
530,KCR,2021,CF,2000000
531,KCR,2021,LF,6600000
532,KCR,2021,OF,570500
533,KCR,2021,P,1711500
534,KCR,2021,RF,7450000
535,KCR,2021,RP,13589400
536,KCR,2021,RP/CL,650000
537,KCR,2021,SP,13225700
538,KCR,2021,SS,2525000
539,KCR,2022,1B,6750000
540,KCR,2022,2B,700000
541,KCR,2022,3B,2550000
542,KCR,2022,C,19400000
543,KCR,2022,CF,4650000
544,KCR,2022,DH,700000
545,KCR,2022,OF,1405500
546,KCR,2022,RF,701900
547,KCR,2022,RP,16374050
548,KCR,2022,RP/CL,2400000
549,KCR,2022,SP,16543600
550,KCR,2022,SS,3700000
551,KCR,2023,1B,1453000
552,KCR,2023,2B,722850
553,KCR,2023,3B,5920000
554,KCR,2023,C,20720000
555,KCR,2023,CF,727500
556,KCR,2023,LF,740750
557,KCR,2023,OF,1442400
558,KCR,2023,RF,726500
559,KCR,2023,RP,7678000
560,KCR,2023,RP/CL,5300000
561,KCR,2023,SP,33095250
562,KCR,2023,SS,2185750
563,LAA,2020,1B,29563500
564,LAA,2020,2B,593500
565,LAA,2020,3B,26637928
566,LAA,2020,C,1363500
567,LAA,2020,CF,37766667
568,LAA,2020,DH,700000
569,LAA,2020,LF,21000000
570,LAA,2020,OF,1127000
571,LAA,2020,RP,14317250
572,LAA,2020,SP,18870500
573,LAA,2020,SS,1702000
574,LAA,2021,1B,1161000
575,LAA,2021,2B,3711500
576,LAA,2021,3B,29232428
577,LAA,2021,C,3100000
578,LAA,2021,CF,38416667
579,LAA,2021,LF,23000000
580,LAA,2021,OF,1141000
581,LAA,2021,P,1141000
582,LAA,2021,RF,16500000
583,LAA,2021,RP,7526500
584,LAA,2021,RP/CL,9125000
585,LAA,2021,SP,25627000
586,LAA,2021,SP/DH,3000000
587,LAA,2021,SS,4671000
588,LAA,2022,1B,1430000
589,LAA,2022,2B,1400000
590,LAA,2022,3B,38071428
591,LAA,2022,C,5450000
592,LAA,2022,CF,37917667
593,LAA,2022,RF,1440000
594,LAA,2022,RP,22520000
595,LAA,2022,SP,12450000
596,LAA,2022,SP/DH,5500000
597,LAA,2022,SS,5400000
598,LAA,2023,1B,8400000
599,LAA,2023,2B,720000
600,LAA,2023,3B,58731428
601,LAA,2023,C,9190000
602,LAA,2023,CF,37836666
603,LAA,2023,LF,2750000
604,LAA,2023,P,720000
605,LAA,2023,RF,12620000
606,LAA,2023,RP,25525000
607,LAA,2023,RP/CL,6750000
608,LAA,2023,SP,29960000
609,LAA,2023,SP/DH,30000000
610,LAA,2023,SS,3020000
611,LAD,2020,1B,3066000
612,LAD,2020,2B,6166000
613,LAD,2020,3B,20000000
614,LAD,2020,C,1673500
615,LAD,2020,CF,17400000
616,LAD,2020,LF,22750000
617,LAD,2020,RF,27000000
618,LAD,2020,RP,29544000
619,LAD,2020,RP/CL,18593500
620,LAD,2020,SP,34309000
621,LAD,2020,SS,7600000
622,LAD,2021,1B,9000000
623,LAD,2021,2B,7800000
624,LAD,2021,3B,13181000
625,LAD,2021,C,2240500
626,LAD,2021,CF,16100000
627,LAD,2021,DH,570500
628,LAD,2021,LF,18000000
629,LAD,2021,OF,578100
630,LAD,2021,RF,22500000
631,LAD,2021,RP,29649000
632,LAD,2021,RP/CL,20570500
633,LAD,2021,SP,122614480
634,LAD,2021,SS,27330500
635,LAD,2022,1B,27000000
636,LAD,2022,2B,2070000
637,LAD,2022,3B,20700000
638,LAD,2022,C,3480000
639,LAD,2022,CF,20200000
640,LAD,2022,DH,13000000
641,LAD,2022,LF,25275000
642,LAD,2022,RF,22500000
643,LAD,2022,RP,54961500
644,LAD,2022,RP/CL,22720000
645,LAD,2022,SP,54400000
646,LAD,2022,SS,21000000
647,LAD,2023,1B,40500000
648,LAD,2023,2B,750000
649,LAD,2023,3B,15000000
650,LAD,2023,C,8750000
651,LAD,2023,CF,1442500
652,LAD,2023,DH,10000000
653,LAD,2023,LF,6500000
654,LAD,2023,OF,720000
655,LAD,2023,RF,720000
656,LAD,2023,RP,28285000
657,LAD,2023,RP/CL,7800000
658,LAD,2023,SP,68585000
659,LAD,2023,SS,47050000
660,MIA,2020,1B,3155000
661,MIA,2020,2B,1733500
662,MIA,2020,C,3158500
663,MIA,2020,CF,12627000
664,MIA,2020,LF,9593000
665,MIA,2020,RF,1775000
666,MIA,2020,RP,13347200
667,MIA,2020,SP,7207000
668,MIA,2020,SS,5313500
669,MIA,2021,1B,5070500
670,MIA,2021,2B,1749750
671,MIA,2021,3B,3800000
672,MIA,2021,C,5021500
673,MIA,2021,CF,1158875
674,MIA,2021,OF,1716000
675,MIA,2021,P,1141000
676,MIA,2021,RF,1900000
677,MIA,2021,RP,6989000
678,MIA,2021,RP/CL,975000
679,MIA,2021,SP,4091000
680,MIA,2021,SS,6141000
681,MIA,2022,1B,700000
682,MIA,2022,2B,718000
683,MIA,2022,3B,10225000
684,MIA,2022,C,3150000
685,MIA,2022,CF,2115000
686,MIA,2022,DH,2500000
687,MIA,2022,LF,12000000
688,MIA,2022,OF,700000
689,MIA,2022,RF,12000000
690,MIA,2022,RP,13054000
691,MIA,2022,RP/CL,3000000
692,MIA,2022,SP,10492000
693,MIA,2022,SS,6900000
694,MIA,2023,1B,5450000
695,MIA,2023,2B,6100000
696,MIA,2023,3B,12500000
697,MIA,2023,C,4080000
698,MIA,2023,CF,2207500
699,MIA,2023,DH,15000000
700,MIA,2023,LF,736000
701,MIA,2023,P,720000
702,MIA,2023,RF,12000000
703,MIA,2023,RP,19949000
704,MIA,2023,RP/CL,10736000
705,MIA,2023,SP,17686500
706,MIA,2023,SS,2820000
707,MIL,2020,1B,17000000
708,MIL,2020,2B,5150900
709,MIL,2020,3B,1563500
710,MIL,2020,C,5138500
711,MIL,2020,CF,565300
712,MIL,2020,DH,580900
713,MIL,2020,LF,21150000
714,MIL,2020,RP,9941860
715,MIL,2020,RP/CL,4666300
716,MIL,2020,SP,11109366
717,MIL,2020,SS,2200000
718,MIL,2021,1B,1998100
719,MIL,2021,2B,8647000
720,MIL,2021,3B,8075100
721,MIL,2021,C,4150000
722,MIL,2021,CF,23070500
723,MIL,2021,LF,14000000
724,MIL,2021,P,570500
725,MIL,2021,RF,10750000
726,MIL,2021,RP,10924500
727,MIL,2021,RP/CL,7356100
728,MIL,2021,SP,9443060
729,MIL,2021,SS,590000
730,MIL,2022,1B,1940000
731,MIL,2022,2B,11755100
732,MIL,2022,3B,2531300
733,MIL,2022,C,7700000
734,MIL,2022,CF,711100
735,MIL,2022,DH,8500000
736,MIL,2022,LF,26000000
737,MIL,2022,OF,700000
738,MIL,2022,RF,7650000
739,MIL,2022,RP,23413700
740,MIL,2022,RP/CL,714500
741,MIL,2022,SP,21339460
742,MIL,2022,SS,4600000
743,MIL,2023,1B,12395000
744,MIL,2023,3B,4750000
745,MIL,2023,C,3539000
746,MIL,2023,CF,720000
747,MIL,2023,LF,26000000
748,MIL,2023,OF,724300
749,MIL,2023,RF,9705400
750,MIL,2023,RP,7088100
751,MIL,2023,RP/CL,3350000
752,MIL,2023,SP,35094960
753,MIL,2023,SS,11591100
754,MIN,2020,1B,7000000
755,MIN,2020,2B,596000
756,MIN,2020,3B,30000000
757,MIN,2020,C,5433500
758,MIN,2020,CF,3075000
759,MIN,2020,DH,12000000
760,MIN,2020,LF,7750000
761,MIN,2020,OF,563500
762,MIN,2020,RF,6837500
763,MIN,2020,RP,16144000
764,MIN,2020,RP/CL,2205000
765,MIN,2020,SP,43653518
766,MIN,2020,SS,5996833
767,MIN,2021,1B,11000000
768,MIN,2021,2B,611000
769,MIN,2021,3B,21000000
770,MIN,2021,C,3024000
771,MIN,2021,CF,5125000
772,MIN,2021,DH,570500
773,MIN,2021,LF,597500
774,MIN,2021,OF,570500
775,MIN,2021,P,1141000
776,MIN,2021,RF,7641000
777,MIN,2021,RP,22415500
778,MIN,2021,SP,17907000
779,MIN,2021,SS,15403834
780,MIN,2022,1B,9250000
781,MIN,2022,2B,7625000
782,MIN,2022,3B,6550000
783,MIN,2022,C,10713050
784,MIN,2022,CF,9842857
785,MIN,2022,DH,700000
786,MIN,2022,LF,702850
